source_file	source_prefix	disposition	target_file	target_prefix	rationale
SKILL.md	Claim      = graph statement worth remembering	preserved	skills/phoenix-architecture/SKILL.md	Working vocabulary:	Five graph primitives remain explicit in runtime seed.
SKILL.md	No meaningful Rendering change until Claim	preserved	skills/phoenix-architecture/SKILL.md	Working vocabulary:	Risk-calibrated Claim/Boundary/Oracle precondition remains explicit.
SKILL.md	3. Name graph condition and operation:	superseded	skills/phoenix-architecture/SKILL.md	1. **Orient.**	Branch router was integrated into one work loop; exact routing taxonomy remains archived.
SKILL.md	5. Record durable memory only when it affects future safety or decisions.	preserved	skills/phoenix-architecture/SKILL.md	If no equivalent state exists	Durable-only updates and tiny/already-covered skips remain explicit.
FRAME.md	2. Extract candidate Claims.	preserved	skills/phoenix-architecture/SKILL.md	4. **Specify.**	Claim extraction and durable IDs moved into integrated specification step.
FRAME.md	4. Lift hidden Claims before cleanup or rewrite.	preserved	skills/phoenix-architecture/SKILL.md	**Extract before you delete.**	Scar-tissue extraction and UNKNOWN-ORIGIN preservation remain explicit.
BOUND.md	2. Choose one owner Boundary per durable Claim.	preserved	skills/phoenix-architecture/SKILL.md	2. **Calibrate.**	Boundary ownership remains required calibration.
BOUND.md	3. Name state and mutation authority.	preserved	skills/phoenix-architecture/SKILL.md	2. **Calibrate.**	Every logical dataset still requires one writer.
BOUND.md	4. Define interface and forbidden coupling.	preserved	skills/phoenix-architecture/SKILL.md	2. **Calibrate.**	Interfaces and blast radius remain part of Boundary calibration; detailed guidance stays archived.
BOUND.md	5. Classify pace, blast radius, recovery.	preserved	skills/phoenix-architecture/SKILL.md	## Pace calibration	Pace, reversibility, and verification remain explicit.
BOUND.md	6. Check regenerative grain.	preserved	skills/phoenix-architecture/SKILL.md	Regenerate when the grain is bounded	Bounded, independently verifiable grain remains regeneration precondition.
BOUND.md	7. Apply UI conservation when user-facing.	preserved	skills/phoenix-architecture/SKILL.md	User-facing UI behavior is slow-layer	User behavior remains conservation layer.
PROVE.md	2. Choose Oracle kind.	archive-only	migrations/legacy-phoenix-v1/source/PROVE.md	2. Choose Oracle kind.	Detailed Oracle taxonomy remains recoverable; live seed compresses it to durability tiers and examples.
PROVE.md	3. Set durability and strength.	preserved	skills/phoenix-architecture/SKILL.md	Three tiers:	Ephemeral, durable, and live Oracle strength remains explicit.
PROVE.md	4. Define pass/fail, blind spots, and failure action.	preserved	skills/phoenix-architecture/SKILL.md	result, freshness/valid-until, and invalidation target. A monitor without a failure action	Failure action remains required; detailed options stay archived.
PROVE.md	5. Add Evidence for live/operational Claims.	preserved	skills/phoenix-architecture/SKILL.md	Evidence records Oracle	Evidence source, window, value, threshold, freshness, and invalidation remain explicit.
RENDER.md	3. Choose Rendering mode.	preserved	skills/phoenix-architecture/SKILL.md	6. **Choose change mode.**	Patch, regenerate, wrap, strangle, rollback, and delete policy remains integrated.
RENDER.md	5. Run Oracles and record Evidence.	preserved	skills/phoenix-architecture/SKILL.md	7. **Verify.**	Relevant Oracles and Evidence remain shipping gate for project Renderings.
RENDER.md	small patches > strangler > wholesale rewrite	preserved	skills/phoenix-architecture/SKILL.md	Unresolved slow-layer tradeoffs	Slow-layer caution remains explicit in change-mode and safety rules.
COMPACT.md	Mass includes Claims, Boundaries, Oracles	archive-only	migrations/legacy-phoenix-v1/source/COMPACT.md	Mass includes Claims, Boundaries, Oracles	Full conceptual-mass inventory remains recoverable; runtime seed keeps compact trigger.
COMPACT.md	4. Choose compaction moves.	archive-only	migrations/legacy-phoenix-v1/source/COMPACT.md	4. Choose compaction moves.	Detailed delete/merge/lift/flatten/move/narrow/split/retire/rename taxonomy remains archived.
COMPACT.md	5. Require Oracle coverage for deletion.	preserved	skills/phoenix-architecture/SKILL.md	**Extract before you delete.**	Deletion still requires extracted Claims and Oracle protection or explicit retirement.
COMPACT.md	6. Compact skill/process files when target is team operation.	preserved	skills/phoenix-architecture/SKILL.md	## Growth rules — how this seed evolves	Skill compaction, split criteria, and deletion test remain self-hosted.
CARDS.md	Type:	archive-only	migrations/legacy-phoenix-v1/source/CARDS.md	Type:	Detailed Claim card fields remain exactly recoverable.
CARDS.md	Mutation authority:	archive-only	migrations/legacy-phoenix-v1/source/CARDS.md	Mutation authority:	Detailed Boundary card fields remain exactly recoverable.
CARDS.md	Kind:	archive-only	migrations/legacy-phoenix-v1/source/CARDS.md	Kind:	Detailed Oracle card fields remain exactly recoverable.
CARDS.md	Window / sample:	archive-only	migrations/legacy-phoenix-v1/source/CARDS.md	Window / sample:	Detailed Evidence card fields remain exactly recoverable.
CARDS.md	Mode:	archive-only	migrations/legacy-phoenix-v1/source/CARDS.md	Mode:	Detailed Rendering card fields remain exactly recoverable.
