source_file	source_unit	disposition	target_file	target_unit	rationale
BOUND.md	@file	archive-only	migrations/legacy-phoenix-v1/source/BOUND.md	@file	Exact branch file retained because new seed integrates its workflow instead of preserving file boundaries.
BOUND.md	L1:# Phoenix Bound	preserved	skills/phoenix-architecture/SKILL.md	## The work loop	Boundary ownership remains a first-class work-loop calibration step.
BOUND.md	L7:## Steps	preserved	skills/phoenix-architecture/SKILL.md	## The work loop	Claim ownership, sole mutation authority, interfaces, pace, grain, and UI conservation remain in the integrated loop and pace rules.
BOUND.md	L51:## Pair with existing skills	archive-only	migrations/legacy-phoenix-v1/source/BOUND.md	## Pair with existing skills	Harness-specific routing table is recoverable but not copied into runtime seed.
BOUND.md	L57:## Output	archive-only	migrations/legacy-phoenix-v1/source/BOUND.md	## Output	Detailed response template remains available without forcing output ceremony.
CARDS.md	@file	archive-only	migrations/legacy-phoenix-v1/source/CARDS.md	@file	Exact detailed graph-card reference retained behind compact live state guidance.
CARDS.md	L1:# Phoenix Cards	preserved	skills/phoenix-architecture/SKILL.md	## Durable state	Live seed keeps graph concepts and a compact durable-state template.
CARDS.md	L5:## Graph policy	preserved	skills/phoenix-architecture/SKILL.md	## Durable state	Only future-relevant durable memory is recorded; tiny or already-covered work skips churn.
CARDS.md	L20:## Minimal graph file	superseded	skills/phoenix-architecture/SKILL.md	## Durable state	Generic SYSTEM template replaces mandatory .phoenix graph shape while existing graph trees remain valid.
CARDS.md	L40:## Claim card	superseded	skills/phoenix-architecture/SKILL.md	## Durable state	Namespaced Claim IDs and state fields are compressed; full original card remains archived.
CARDS.md	L77:## Boundary card	superseded	skills/phoenix-architecture/SKILL.md	## The work loop	Owner, mutation authority, interface, pace, blast radius, and recovery remain required calibration fields.
CARDS.md	L135:## Oracle card	superseded	skills/phoenix-architecture/SKILL.md	## Evaluations	Oracle kinds, Claim traceability, strength, and failure action are integrated into evaluation guidance.
CARDS.md	L178:## Evidence card	superseded	skills/phoenix-architecture/SKILL.md	## Evaluations	Dated Evidence fields and invalidation target remain explicit in compressed form.
CARDS.md	L218:## Rendering card	superseded	skills/phoenix-architecture/SKILL.md	## Regenerate and remember	Rendering mode, rollback, provenance, and hidden-knowledge rules remain; detailed card is archived.
CARDS.md	L260:## Open graph issues	superseded	skills/phoenix-architecture/SKILL.md	## Durable state	Ledger and work-loop diagnostics replace fixed issue taxonomy; original taxonomy remains archived.
COMPACT.md	@file	archive-only	migrations/legacy-phoenix-v1/source/COMPACT.md	@file	Exact compaction branch retained because live seed integrates only its durable rules.
COMPACT.md	L1:# Phoenix Compact	preserved	skills/phoenix-architecture/SKILL.md	## Growth rules — how this seed evolves	Compaction remains required when conceptual mass grows faster than capability.
COMPACT.md	L7:## Conceptual mass	preserved	skills/phoenix-architecture/SKILL.md	## The work loop	Conceptual mass remains the trigger for post-change compaction.
COMPACT.md	L11:## Steps	preserved	skills/phoenix-architecture/SKILL.md	## Regenerate and remember	Hidden-Claim archaeology and Oracle-gated deletion remain mandatory before simplification.
COMPACT.md	L54:## Pair with existing skills	archive-only	migrations/legacy-phoenix-v1/source/COMPACT.md	## Pair with existing skills	Harness-specific routing remains recoverable outside runtime seed.
COMPACT.md	L61:## Review checks	superseded	skills/phoenix-architecture/SKILL.md	## Safety rails	Review questions are expressed as work-loop and safety invariants; exact checklist remains archived.
COMPACT.md	L74:## Output	archive-only	migrations/legacy-phoenix-v1/source/COMPACT.md	## Output	Detailed response template remains recoverable without mandatory ceremony.
FRAME.md	@file	archive-only	migrations/legacy-phoenix-v1/source/FRAME.md	@file	Exact framing branch retained because live seed integrates its workflow.
FRAME.md	L1:# Phoenix Frame	preserved	skills/phoenix-architecture/SKILL.md	## The work loop	Framing durable Claims remains orient, grill, and specify work.
FRAME.md	L7:## Steps	preserved	skills/phoenix-architecture/SKILL.md	## Grilling — extracting latent context from humans	Source gathering, Claim extraction, ambiguity, hidden Claims, and next-edge decisions remain.
FRAME.md	L38:## Pair with existing skills	archive-only	migrations/legacy-phoenix-v1/source/FRAME.md	## Pair with existing skills	Harness-specific routing remains recoverable outside runtime seed.
FRAME.md	L45:## Output	archive-only	migrations/legacy-phoenix-v1/source/FRAME.md	## Output	Detailed response template remains recoverable without mandatory ceremony.
PROVE.md	@file	archive-only	migrations/legacy-phoenix-v1/source/PROVE.md	@file	Exact proving branch retained because live seed integrates its workflow.
PROVE.md	L1:# Phoenix Prove	preserved	skills/phoenix-architecture/SKILL.md	## Evaluations	Oracle and Evidence discipline remains first-class.
PROVE.md	L7:## Steps	preserved	skills/phoenix-architecture/SKILL.md	## Evaluations	Oracle kinds, durability, pass/fail, failure action, Evidence freshness, and proceed decisions remain.
PROVE.md	L47:## Pair with existing skills	archive-only	migrations/legacy-phoenix-v1/source/PROVE.md	## Pair with existing skills	Harness-specific routing remains recoverable outside runtime seed.
PROVE.md	L53:## Output	archive-only	migrations/legacy-phoenix-v1/source/PROVE.md	## Output	Detailed response template remains recoverable without mandatory ceremony.
RENDER.md	@file	archive-only	migrations/legacy-phoenix-v1/source/RENDER.md	@file	Exact rendering branch retained because live seed integrates its workflow.
RENDER.md	L1:# Phoenix Render	preserved	skills/phoenix-architecture/SKILL.md	## Regenerate and remember	Rendering remains replaceable implementation behind durable intent.
RENDER.md	L7:## Steps	preserved	skills/phoenix-architecture/SKILL.md	## The work loop	Preflight, scar-tissue inspection, mode choice, smallest safe change, Oracles, provenance, and compaction remain.
RENDER.md	L45:## Slow-layer caution	preserved	skills/phoenix-architecture/SKILL.md	## Safety rails	Slow-layer patch preference, strong Oracles, human decisions, and no blind regeneration remain.
RENDER.md	L55:## Pair with existing skills	archive-only	migrations/legacy-phoenix-v1/source/RENDER.md	## Pair with existing skills	Harness-specific routing remains recoverable outside runtime seed.
RENDER.md	L62:## Output	archive-only	migrations/legacy-phoenix-v1/source/RENDER.md	## Output	Detailed response template remains recoverable without mandatory ceremony.
SKILL.md	@file	archive-only	migrations/legacy-phoenix-v1/source/SKILL.md	@file	Exact router skill retained as migration source and rollback reference.
